player_name,standardized_club
Jordan Stevens,Leeds United
Robbie Gotts,Leeds United
Conor Shaughnessy,Leeds United
Jay-Roy Grot,Leeds United
Jordan Stevens,Leeds United
Robbie Gotts,Leeds United
Sam Hughes,Leicester City
Matty James,Leicester City
Filip Benkovic,Leicester City
Demarai Gray,Leicester City
Islam Slimani,Leicester City
Matty James,Leicester City
Filip Benkovic,Leicester City
Ben Davies,Liverpool
Ozan Kabak,Liverpool
Ben Woodburn,Liverpool
Sepp van den Berg,Liverpool
Takumi Minamino,Liverpool
Filip Stevanovic,Manchester City
Diego Rosa,Manchester City
Ante Palaversa,Manchester City
Arijanet Muric,Manchester City
Patrick Roberts,Manchester City
Daniel Arzani,Manchester City
Filip Stevanovic,Manchester City
Diego Rosa,Manchester City
Daniel Arzani,Manchester City
Ante Palaversa,Manchester City
Arijanet Muric,Manchester City
Patrick Roberts,Manchester City
Amad Diallo,Manchester United
Tahith Chong,Manchester United
Jesse Lingard,Manchester United
Timothy Fosu-Mensah,Manchester United
Marcos Rojo,Manchester United
Facundo Pellistri,Manchester United
Tahith Chong,Manchester United
Odion Ighalo,Manchester United
Joe Willock,Newcastle United
Rolando Aarons,Newcastle United
DeAndre Yedlin,Newcastle United
Achraf Lazaar,Newcastle United
Takumi Minamino,Southampton
Josh Sims,Southampton
Josh Sims,Southampton
Shane Long,Southampton
Yan Valery,Southampton
Jack Clarke,Tottenham Hotspur
Paulo Gazzaniga,Tottenham Hotspur
Gedson Fernandes,Tottenham Hotspur
Saïd Benrahma,West Ham United
Jesse Lingard,West Ham United
Frederik Alves,West Ham United
Winston Reid,West Ham United
Sébastien Haller,West Ham United
Robert Snodgrass,West Ham United
Winston Reid,West Ham United
Saïd Benrahma,West Ham United
Willian José,Wolverhampton
Owen Otasowie,Wolverhampton
Morgan Gibbs-White,Wolverhampton
Rúben Vinagre,Wolverhampton
Patrick Cutrone,Wolverhampton
Roderick Miranda,Wolverhampton
Rúben Vinagre,Wolverhampton
Oskar Buur,Wolverhampton
Patrick Cutrone,Wolverhampton
Ben White,Arsenal
Martin Ødegaard,Arsenal
Aaron Ramsdale,Arsenal
Takehiro Tomiyasu,Arsenal
Albert Sambi Lokonga,Arsenal
Nuno Tavares,Arsenal
Mattéo Guendouzi,Arsenal
Lucas Torreira,Arsenal
Sead Kolasinac,Arsenal
William Saliba,Arsenal
Joe Willock,Arsenal
Lucas Torreira,Arsenal
Willian,Arsenal
Mattéo Guendouzi,Arsenal
William Saliba,Arsenal
Dejan Iliev,Arsenal
Héctor Bellerín,Arsenal
Rúnar Alex Rúnarsson,Arsenal
Reiss Nelson,Arsenal
David Luiz,Arsenal
Martin Ødegaard,Arsenal
Mathew Ryan,Arsenal
Dani Ceballos,Arsenal
Emiliano Buendía,Aston Villa
Leon Bailey,Aston Villa
Danny Ings,Aston Villa
Ashley Young,Aston Villa
Axel Tuanzebe,Aston Villa
Cameron Archer,Aston Villa
Jaden Philogene-Bidace,Aston Villa
Carney Chukwuemeka,Aston Villa
Conor Hourihane,Aston Villa
Frédéric Guilbert,Aston Villa
Ally Samatta,Aston Villa
Jack Grealish,Aston Villa
Ally Samatta,Aston Villa
Björn Engels,Aston Villa
Tom Heaton,Aston Villa
Frédéric Guilbert,Aston Villa
Conor Hourihane,Aston Villa
Wesley,Aston Villa
Neil Taylor,Aston Villa
Ahmed Elmohamady,Aston Villa
Axel Tuanzebe,Aston Villa
Kristoffer Ajer,Brentford
Yoane Wissa,Brentford
Frank Onyeka,Brentford
Myles Peart-Harris,Brentford
Álvaro Fernández,Brentford
Zanka,Brentford
Mads Bidstrup,Brentford
Joel Valencia,Brentford
Patrik Gunnarsson,Brentford
Halil Dervisoglu,Brentford
Ellery Balcombe,Brentford
Julian Jeanvier,Brentford
Halil Dervisoglu,Brentford
Emiliano Marcondes,Brentford
Luke Daniels,Brentford
Henrik Dalsgaard,Brentford
Patrik Gunnarsson,Brentford
Ellery Balcombe,Brentford
Álvaro Fernández,Brentford
Enock Mwepu,Brighton
Marc Cucurella,Brighton
Abdallah Sima,Brighton
Kjell Scherpen,Brighton
Kaoru Mitoma,Brighton
Haydon Roberts,Brighton
Taylor Richards,Brighton
Leo Östigard,Brighton
Kaoru Mitoma,Brighton
Matt Clarke,Brighton
Jan Paul van Hecke,Brighton
Mathew Ryan,Brighton
Christian Walton,Brighton
Bernardo,Brighton
Tudor Baluta,Brighton
Jan Paul van Hecke,Brighton
Abdallah Sima,Brighton
Jan Mlakar,Brighton
Jürgen Locadia,Brighton
Ben White,Brighton
Percy Tau,Brighton
Viktor Gyökeres,Brighton
Alireza Jahanbakhsh,Brighton
Michal Karbownik,Brighton
José Izquierdo,Brighton
Davy Pröpper,Brighton
Kaoru Mitoma,Brighton
Mathew Ryan,Brighton
Bernardo,Brighton
Jan Mlakar,Brighton
Jan Paul van Hecke,Brighton
Andi Zeqiri,Brighton
Moisés Caicedo,Brighton
Christian Walton,Brighton
Abdallah Sima,Brighton
Florin Andone,Brighton
Leo Östigard,Brighton
Matt Clarke,Brighton
Maxwel Cornet,FC Köln
Nathan Collins,FC Köln
Connor Roberts,FC Köln
Wayne Hennessey,FC Köln
Aaron Lennon,FC Köln
Jacob Bedeau,FC Köln
Lukas Jensen,FC Köln
Lukas Jensen,FC Köln
Bailey Peacock-Farrell,FC Köln
Ben Gibson,FC Köln
Lukas Jensen,FC Köln
Jimmy Dunne,FC Köln
Josh Benson,FC Köln
Bailey Peacock-Farrell,FC Köln
Robbie Brady,FC Köln
Romelu Lukaku,Chelsea
Saúl Ñíguez,Chelsea
Marcus Bettinelli,Chelsea
Trevoh Chalobah,Chelsea
Malang Sarr,Chelsea
Danilo Pantic,Chelsea
Kenedy,Chelsea
Lewis Baker,Chelsea
Danny Drinkwater,Chelsea
Davide Zappacosta,Chelsea
Matt Miazga,Chelsea
Tiemoué Bakayoko,Chelsea
Abdul-Rahman Baba,Chelsea
Jake Clarke-Salter,Chelsea
Marco van Ginkel,Chelsea
Victor Moses,Chelsea
Danny Drinkwater,Chelsea
Fikayo Tomori,Chelsea
Abdul-Rahman Baba,Chelsea
Billy Gilmour,Chelsea
Tammy Abraham,Chelsea
Kurt Zouma,Chelsea
Fikayo Tomori,Chelsea
Davide Zappacosta,Chelsea
Victor Moses,Chelsea
Tiemoué Bakayoko,Chelsea
Olivier Giroud,Chelsea
Emerson,Chelsea
Kenedy,Chelsea
Michy Batshuayi,Chelsea
Marco van Ginkel,Chelsea
Izzy Brown,Chelsea
Danilo Pantic,Chelsea
Matt Miazga,Chelsea
Billy Gilmour,Chelsea
Abdul-Rahman Baba,Chelsea
Danny Drinkwater,Chelsea
Ethan Ampadu,Chelsea
Jake Clarke-Salter,Chelsea
Jamal Blackman,Chelsea
Willy Caballero,Chelsea
Marc Guehi,Crystal Palace
Joachim Andersen,Crystal Palace
Odsonne Edouard,Crystal Palace
Michael Olise,Crystal Palace
Will Hughes,Crystal Palace
Remi Matthews,Crystal Palace
Jacob Montes,Crystal Palace
Conor Gallagher,Crystal Palace
Jaroslaw Jach,Crystal Palace
Gary Cahill,Crystal Palace
Scott Dann,Crystal Palace
Andros Townsend,Crystal Palace
Patrick van Aanholt,Crystal Palace
Mamadou Sakho,Crystal Palace
James McCarthy,Crystal Palace
Wayne Hennessey,Crystal Palace
Jacob Montes,Crystal Palace
Sam Woods,Crystal Palace
Connor Wickham,Crystal Palace
Stephen Henderson,Crystal Palace
Conor Gallagher,Crystal Palace
Demarai Gray,Everton
Salomón Rondón,Everton
Asmir Begovic,Everton
Andros Townsend,Everton
Andy Lonergan,Everton
Moise Kean,Everton
Jonjoe Kenny,Everton
Cenk Tosun,Everton
James Rodríguez,Everton
Moise Kean,Everton
Bernard,Everton
Joshua King,Everton
Beni Baningime,Everton
Yannick Bolasie,Everton
Matthew Pennington,Everton
Theo Walcott,Everton
João Virgínia,Everton
Niels Nkounkou,Everton
Muhamed Besic,Everton
Robin Olsen,Everton
Daniel James,Leeds United
Junior Firpo,Leeds United
Jack Harrison,Leeds United
Kristoffer Klaesson,Leeds United
Crysencio Summerville,Leeds United
Ian Poveda,Leeds United
Leif Davis,Leeds United
Mateusz Bogusz,Leeds United
Pablo Hernández,Leeds United
Ouasim Bouy,Leeds United
Ezgjan Alioski,Leeds United
Barry Douglas,Leeds United
Robbie Gotts,Leeds United
Jordan Stevens,Leeds United
Leif Davis,Leeds United
Kiko Casilla,Leeds United
Mateusz Bogusz,Leeds United
Hélder Costa,Leeds United
Ian Poveda,Leeds United
Eunan O'Kane,Leeds United
Gaetano Berardi,Leeds United
Patson Daka,Leicester City
Boubakary Soumaré,Leicester City
Jannik Vestergaard,Leicester City
Ryan Bertrand,Leicester City
Ademola Lookman,Leicester City
Kiernan Dewsbury-Hall,Leicester City
Rachid Ghezzal,Leicester City
Filip Benkovic,Leicester City
Rachid Ghezzal,Leicester City
Dennis Praet,Leicester City
Christian Fuchs,Leicester City
Matty James,Leicester City
Sam Hughes,Leicester City
Wes Morgan,Leicester City
Cengiz Ünder,Leicester City
Ibrahima Konaté,Liverpool
Harvey Elliott,Liverpool
Sheyi Ojo,Liverpool
Taiwo Awoniyi,Liverpool
Rhys Williams,Liverpool
Ben Woodburn,Liverpool
Ben Davies,Liverpool
Takumi Minamino,Liverpool
Sepp van den Berg,Liverpool
Marko Grujic,Liverpool
Loris Karius,Liverpool
Harry Wilson,Liverpool
Taiwo Awoniyi,Liverpool
Xherdan Shaqiri,Liverpool
Marko Grujic,Liverpool
Georginio Wijnaldum,Liverpool
Rhys Williams,Liverpool
Ben Woodburn,Liverpool
Ben Davies,Liverpool
Sheyi Ojo,Liverpool
Ozan Kabak,Liverpool
Jack Grealish,Manchester City
Kayky,Manchester City
Scott Carson,Manchester City
Cole Palmer,Manchester City
Arijanet Muric,Manchester City
Daniel Arzani,Manchester City
Filip Stevanovic,Manchester City
Marlos Moreno,Manchester City
Angeliño,Manchester City
Ryotaro Meshino,Manchester City
Yangel Herrera,Manchester City
Lukas Nmecha,Manchester City
Issa Kaboré,Manchester City
Ko Itakura,Manchester City
Angeliño,Manchester City
Jack Harrison,Manchester City
Lukas Nmecha,Manchester City
Eric García,Manchester City
Sergio Agüero,Manchester City
Philippe Sandler,Manchester City
Arijanet Muric,Manchester City
Patrick Roberts,Manchester City
Ryotaro Meshino,Manchester City
Daniel Arzani,Manchester City
Ko Itakura,Manchester City
Yangel Herrera,Manchester City
Issa Kaboré,Manchester City
Marlos Moreno,Manchester City
Filip Stevanovic,Manchester City
Jadon Sancho,Manchester United
Raphaël Varane,Manchester United
Cristiano Ronaldo,Manchester United
Tom Heaton,Manchester United
Andreas Pereira,Manchester United
Axel Tuanzebe,Manchester United
Facundo Pellistri,Manchester United
Brandon Williams,Manchester United
Tahith Chong,Manchester United
Diogo Dalot,Manchester United
Daniel James,Manchester United
Andreas Pereira,Manchester United
Joel Pereira,Manchester United
Facundo Pellistri,Manchester United
Brandon Williams,Manchester United
Axel Tuanzebe,Manchester United
Tahith Chong,Manchester United
Sergio Romero,Manchester United
Joe Willock,Newcastle United
Florian Lejeune,Newcastle United
Yoshinori Muto,Newcastle United
Matty Longstaff,Newcastle United
Christian Atsu,Newcastle United
Yoshinori Muto,Newcastle United
Jake Turner,Newcastle United
Florian Lejeune,Newcastle United
Matty Longstaff,Newcastle United
Andy Carroll,Newcastle United
Henri Saivet,Newcastle United
Adam Armstrong,Southampton
Romain Perraud,Southampton
Lyanco,Southampton
Valentino Livramento,Southampton
Theo Walcott,Southampton
Armando Broja,Southampton
Dan N'Lundulu,Southampton
Mohamed Elyounoussi,Southampton
Wesley Hoedt,Southampton
Danny Ings,Southampton
Jannik Vestergaard,Southampton
Angus Gunn,Southampton
Mario Lemina,Southampton
Michael Obafemi,Southampton
Ryan Bertrand,Southampton
Jake Hesketh,Southampton
Wesley Hoedt,Southampton
Josh Sims,Southampton
Dan N'Lundulu,Southampton
Armando Broja,Southampton
Takumi Minamino,Southampton
Emerson Royal,Tottenham Hotspur
Bryan Gil,Tottenham Hotspur
Pape Sarr,Tottenham Hotspur
Cristian Romero,Tottenham Hotspur
Pierluigi Gollini,Tottenham Hotspur
Paulo Gazzaniga,Tottenham Hotspur
Ryan Sessegnon,Tottenham Hotspur
Juan Foyth,Tottenham Hotspur
Juan Foyth,Tottenham Hotspur
Toby Alderweireld,Tottenham Hotspur
Moussa Sissoko,Tottenham Hotspur
Joe Hart,Tottenham Hotspur
Danny Rose,Tottenham Hotspur
Paulo Gazzaniga,Tottenham Hotspur
Erik Lamela,Tottenham Hotspur
Pape Sarr,Tottenham Hotspur
Alfie Whiteman,Tottenham Hotspur
Serge Aurier,Tottenham Hotspur
Cameron Carter-Vickers,Tottenham Hotspur
Carlos Vinícius,Tottenham Hotspur
Gareth Bale,Tottenham Hotspur
Imrân Louza,FC Köln
Emmanuel Dennis,FC Köln
Moussa Sissoko,FC Köln
Ozan Tufan,FC Köln
Mattie Pollock,FC Köln
Joshua King,FC Köln
Ashley Fletcher,FC Köln
Danny Rose,FC Köln
Kwadwo Baah,FC Köln
Peter Etebo,FC Köln
Juraj Kucka,FC Köln
Nicolas N'Koulou,FC Köln
Andre Gray,FC Köln
Pontus Dahlberg,FC Köln
Domingos Quina,FC Köln
Mattie Pollock,FC Köln
Tom Dele-Bashiru,FC Köln
Philip Zinckernagel,FC Köln
Kwasi Sibo,FC Köln
Domingos Quina,FC Köln
Jerome Sinclair,FC Köln
Adalberto Peñaranda,FC Köln
Jorge Segura,FC Köln
Cucho Hernández,FC Köln
Will Hughes,FC Köln
Craig Dawson,FC Köln
Isaac Success,FC Köln
Ben Wilmot,FC Köln
Kwasi Sibo,FC Köln
Filip Stuparevic,FC Köln
Troy Deeney,FC Köln
Stipe Perica,FC Köln
Achraf Lazaar,FC Köln
Nathaniel Chalobah,FC Köln
Philip Zinckernagel,FC Köln
Tom Dele-Bashiru,FC Köln
Mattie Pollock,FC Köln
Andre Gray,FC Köln
Pontus Dahlberg,FC Köln
Adalberto Peñaranda,FC Köln
Jorge Segura,FC Köln
Jerome Sinclair,FC Köln
Carlos Sánchez,FC Köln
Marc Navarro,FC Köln
Domingos Quina,FC Köln
Peter Etebo,FC Köln
Kurt Zouma,West Ham United
Nikola Vlasic,West Ham United
Alex Kral,West Ham United
Craig Dawson,West Ham United
Alphonse Areola,West Ham United
Conor Coventry,West Ham United
Xande Silva,West Ham United
Felipe Anderson,West Ham United
Frederik Alves,West Ham United
Conor Coventry,West Ham United
Felipe Anderson,West Ham United
Fabián Balbuena,West Ham United
Xande Silva,West Ham United
Frederik Alves,West Ham United
Winston Reid,West Ham United
Conor Coventry,West Ham United
Rayan Aït Nouri,Wolverhampton
José Sá,Wolverhampton
Francisco Trincão,Wolverhampton
Yerson Mosquera,Wolverhampton
Bendegúz Bolla,Wolverhampton
Hee-chan Hwang,Wolverhampton
Connor Ronan,Wolverhampton
Matija Sarkic,Wolverhampton
Morgan Gibbs-White,Wolverhampton
Connor Ronan,Wolverhampton
Bruno Jordão,Wolverhampton
Leonardo Campana,Wolverhampton
Rúben Vinagre,Wolverhampton
Oskar Buur,Wolverhampton
Patrick Cutrone,Wolverhampton
Rafa Mir,Wolverhampton
Rafa Mir,Wolverhampton
Rui Patrício,Wolverhampton
Owen Otasowie,Wolverhampton
Leonardo Campana,Wolverhampton
Connor Ronan,Wolverhampton
Renat Dadashov,Wolverhampton
Matija Sarkic,Wolverhampton
Morgan Gibbs-White,Wolverhampton
Rúben Vinagre,Wolverhampton
Patrick Cutrone,Wolverhampton
Vitinha,Wolverhampton
Rayan Aït Nouri,Wolverhampton
Willian José,Wolverhampton
Bendegúz Bolla,Wolverhampton
Patrik Gunnarsson,Brentford
Billy Arce,Brighton
Sam Hughes,Leicester City
Tahith Chong,Manchester United
Jake Turner,Newcastle United
Alfie Whiteman,Tottenham Hotspur
Maduka Okoye,FC Köln
Maduka Okoye,FC Köln
Pedro León,Getafe
Dani Parejo,Getafe
Mané,Getafe
Miguel Torres,Getafe
Derek Boateng,Getafe
Pedro Ríos,Getafe
Jordi Codina,Getafe
Adrián Sardinero,Getafe
David Sousa,Getafe
Nacho,Getafe
Ikechukwu Uche,Getafe
Esteban Granero,Getafe
Joffre Guerrón,Getafe
Eugen Polanski,Getafe
Nacho,Getafe
David Sousa,Getafe
Ibrahim Kas,Getafe
Mario Cotelo,Getafe
Vladimir Stojkovic,Getafe
Jacobo Sanz,Getafe
Hernán Bernardello,Almería
Henok Goitom,Almería
Álex Quillo,Almería
Fabián Vargas,Almería
Gustavo Pinedo,Almería
Modeste M'Bami,Almería
Leonardo Borzani,Almería
Natalio,Almería
David Rodríguez,Almería
Domingo Cisma,Almería
Álvaro Negredo,Almería
Mané,Almería
Julio Álvarez,Almería
Bruno,Almería
Iriney,Almería
Juanito,Almería
Carlos García,Almería
Natalio,Almería
Gustavo Pinedo,Almería
Nilmar,Villarreal
Iván Marcano,Villarreal
David Fuster,Villarreal
César Arzo,Villarreal
Xavier Oliva,Villarreal
Robert Flores,Villarreal
Jozy Altidore,Villarreal
Marquitos,Villarreal
Damián Escudero,Villarreal
Jonathan Pereira,Villarreal
Marco Ruben,Villarreal
Nihat Kahveci,Villarreal
Matías Fernández,Villarreal
César Arzo,Villarreal
Marquitos,Villarreal
Guillermo Franco,Villarreal
Pascal Cygan,Villarreal
Jordi Pablo,Villarreal
Jozy Altidore,Villarreal
Sebastián Viera,Villarreal
Marco Ruben,Villarreal
Robert Flores,Villarreal
Joan Tomás,Villarreal
Miguel Ángel Moyá,Valencia
Ángel Dealbert,Valencia
Jérémy Mathieu,Valencia
Bruno,Valencia
Miku Fedor,Valencia
Nikola Zigic,Valencia
Ignacio González,Valencia
Ludovic Butelle,Valencia
Éver Banega,Valencia
Aarón Ñíguez,Valencia
Jordi Alba,Valencia
Sunny,Valencia
Ángel Montoro,Valencia
David Navarro,Valencia
Raúl Albiol,Valencia
Emiliano Moretti,Valencia
Renan,Valencia
Sunny,Valencia
Hugo Viana,Valencia
Edú Gaspar,Valencia
Miguel Ángel Angulo,Valencia
Ludovic Butelle,Valencia
Fernando Morientes,Valencia
Curro Torres,Valencia
Aarón Ñíguez,Valencia
Thiago Carleto,Valencia
Vicente Guaita,Valencia
Ángel Montoro,Valencia
Juan Forlín,Barcelona
Ben Sahar,Barcelona
Facundo Roncaglia,Barcelona
Shunsuke Nakamura,Barcelona
Fernando Marqués,Barcelona
Joan Verdú,Barcelona
Iván Pillud,Barcelona
Wellington Baroni,Barcelona
Víctor Ruiz,Barcelona
Javi López,Barcelona
Raúl Baena,Barcelona
Javi Márquez,Barcelona
Julián López,Barcelona
Jordi Gómez,Barcelona
Jônatas,Barcelona
Sergio Sánchez,Barcelona
Jordi Gómez,Barcelona
Marc Torrejón,Barcelona
Steve Finnan,Barcelona
Francisco Rufete,Barcelona
Wellington Baroni,Barcelona
Jônatas,Barcelona
Valdo,Barcelona
Ángel Martínez,Barcelona
Román Martínez,Barcelona
Grégory Béranger,Barcelona
Mari Lacruz,Barcelona
Nenê,Barcelona
Sergio Asenjo,Atlético Madrid
Leandro Cabrera,Atlético Madrid
Roberto,Atlético Madrid
Juanito,Atlético Madrid
David de Gea,Atlético Madrid
Zé Castro,Atlético Madrid
Cléber Santana,Atlético Madrid
José Antonio Reyes,Atlético Madrid
José Manuel Jurado,Atlético Madrid
Diego Costa,Atlético Madrid
Juan Valera,Atlético Madrid
Johnny Heitinga,Atlético Madrid
Zé Castro,Atlético Madrid
Grégory Coupet,Atlético Madrid
Miguel de las Cuevas,Atlético Madrid
Luis García,Atlético Madrid
Maniche,Atlético Madrid
Georgios Seitaridis,Atlético Madrid
Ángel Bernabé,Atlético Madrid
Leo Franco,Atlético Madrid
Diego Costa,Atlético Madrid
Éver Banega,Atlético Madrid
Xabier Castillo,Athletic Bilbao
Óscar de Marcos,Athletic Bilbao
Iñigo Díaz de Cerio,Athletic Bilbao
Mikel San José,Athletic Bilbao
Iker Muniain,Athletic Bilbao
Iñaki Lafuente,Athletic Bilbao
Javi Casas,Athletic Bilbao
Tiko,Athletic Bilbao
Iban Zubiaurre,Athletic Bilbao
Joseba Garmendia,Athletic Bilbao
Javi Casas,Athletic Bilbao
Joseba del Olmo,Athletic Bilbao
Iñigo Vélez,Athletic Bilbao
Iñaki Lafuente,Athletic Bilbao
Ander Murillo,Athletic Bilbao
Mikel Balenziaga,Athletic Bilbao
Tiko,Athletic Bilbao
Cristiano Ronaldo,Real Madrid
Kaká,Real Madrid
Karim Benzema,Real Madrid
Xabi Alonso,Real Madrid
Raúl Albiol,Real Madrid
Álvaro Negredo,Real Madrid
Esteban Granero,Real Madrid
Álvaro Arbeloa,Real Madrid
Antonio Adán,Real Madrid
Ezequiel Garay,Real Madrid
Arjen Robben,Real Madrid
Wesley Sneijder,Real Madrid
Álvaro Negredo,Real Madrid
Klaas-Jan Huntelaar,Real Madrid
Javi García,Real Madrid
Javier Saviola,Real Madrid
Dani Parejo,Real Madrid
Miguel Torres,Real Madrid
Gabriel Heinze,Real Madrid
Míchel Salgado,Real Madrid
Jordi Codina,Real Madrid
Fabio Cannavaro,Real Madrid
Julien Faubert,Real Madrid
Álvaro Negredo,Sevilla
Didier Zokora,Sevilla
Sergio Sánchez,Sevilla
Fernando Rodríguez,Sevilla
Tom De Mul,Sevilla
Duda,Sevilla
Morgan De Sanctis,Sevilla
Lolo,Sevilla
Pablo Ruiz,Sevilla
Aquivaldo Mosquera,Sevilla
Morgan De Sanctis,Sevilla
Enzo Maresca,Sevilla
Duda,Sevilla
José Crespo,Sevilla
Pablo Ruiz,Sevilla
Emiliano Armenteros,Sevilla
David Prieto,Sevilla
Fernando Rodríguez,Sevilla
Alberto Bueno,Valladolid
Manucho,Valladolid
Héctor Font,Valladolid
Sisi González,Valladolid
César Arzo,Valladolid
Fabri,Valladolid
Diego Costa,Valladolid
Nivaldo,Valladolid
Marquitos,Valladolid
Nauzet Alemán,Valladolid
Pelé,Valladolid
Antonio Barragán,Valladolid
Jesús Rueda,Valladolid
Álvaro Antón,Valladolid
Asier Arranz,Valladolid
Jacobo Sanz,Valladolid
Sergio Asenjo,Valladolid
Pedro León,Valladolid
Bartholomew Ogbeche,Valladolid
Óscar Sánchez,Valladolid
Iñaki Bea,Valladolid
Ángel Vivar Dorado,Valladolid
Víctor Fernández,Valladolid
Kike López,Valladolid
Álvaro Antón,Valladolid
Jesús Rueda,Valladolid
Alberto López,Valladolid
García Calvo,Valladolid
Marcos Aguirre,Valladolid
Damián Escudero,Valladolid
Henok Goitom,Valladolid
Nano,Valladolid
Pedro Oldoni,Valladolid
Javier Camuñas,Osasuna
Carlos Aranda,Osasuna
Javier Calleja,Osasuna
Jorge Galán,Osasuna
Rúper,Osasuna
Xavier Margairaz,Osasuna
Jokin Esparza,Osasuna
Jon Erice,Osasuna
Nicolás Medina,Osasuna
Jaroslav Plasil,Osasuna
Xavier Margairaz,Osasuna
Héctor Font,Osasuna
Javier Flaño,Osasuna
Tiago Gomes,Osasuna
Jon Erice,Osasuna
Kike Sola,Osasuna
Santiago Ezquerro,Osasuna
César Cruchaga,Osasuna
Antonio Hidalgo,Osasuna
Sunny,Osasuna
Bruno China,Mallorca
Julio Álvarez,Mallorca
Rubén González,Mallorca
Borja Valero,Mallorca
Paulo Pezzolano,Mallorca
Felipe Mattioni,Mallorca
Nauzet Pérez,Mallorca
Carlos Carmona,Mallorca
Dani Benítez,Mallorca
Martí Crespí,Mallorca
Javi Guerra,Mallorca
Víctor Casadesús,Mallorca
Emilio Nsue,Mallorca
Óscar Díaz,Mallorca
Tuni,Mallorca
Miguel Ángel Moyá,Mallorca
Juan Arango,Mallorca
Dani Benítez,Mallorca
Emilio Nsue,Mallorca
Carlos Carmona,Mallorca
Óscar Trejo,Mallorca
Javi Guerra,Mallorca
Martí Crespí,Mallorca
Juanmi Callejón,Mallorca
Cléber Santana,Mallorca
José Manuel Jurado,Mallorca
Lionel Scaloni,Mallorca
David Navarro,Mallorca
Zlatan Ibrahimovic,Barcelona
Dmytro Chygrynskyi,Barcelona
Keirrison,Barcelona
Maxwell,Barcelona
Víctor Sánchez,Barcelona
Jeffren,Barcelona
Henrique,Barcelona
Samuel Eto'o,Barcelona
Eidur Gudjohnsen,Barcelona
Aleksandr Hleb,Barcelona
Martín Cáceres,Barcelona
Sylvinho,Barcelona
Albert Jorquera,Barcelona
Víctor Sánchez,Barcelona
Henrique,Barcelona
Keirrison,Barcelona
Miku Fedor,Getafe
Cosmin Contra,Getafe
Franck Signorino,Getafe
Lucas Licht,Getafe
Jonathan Pereira,Villarreal
Fabricio Fuentes,Villarreal
Sebastián Eguren,Villarreal
Alejandro Domínguez,Valencia
Thiago Carleto,Valencia
Asier del Horno,Valencia
Miku Fedor,Valencia
Thiago Carleto,Valencia
Ignacio González,Valencia
Daniel Osvaldo,Barcelona
Dídac Vilà,Barcelona
Jordi Amat,Barcelona
Jônatas,Barcelona
Shunsuke Nakamura,Barcelona
Milan Smiljanic,Barcelona
Julián López,Barcelona
Eduardo Salvio,Atlético Madrid
Tiago Mendes,Atlético Madrid
Ibrahima Balde,Atlético Madrid
Joel Robles,Atlético Madrid
Florent Sinama-Pongolle,Atlético Madrid
Cléber Santana,Atlético Madrid
Maxi Rodríguez,Atlético Madrid
Roberto,Atlético Madrid
Xabi Etxeita,Athletic Bilbao
Ruud van Nistelrooy,Real Madrid
Marius Stankevicius,Sevilla
Arouna Koné,Sevilla
Javier Chevantón,Sevilla
Asier del Horno,Valladolid
Henrique Sereno,Valladolid
Keko Gontán,Valladolid
Carlos Lázaro,Valladolid
Asier Arranz,Valladolid
Jon Echaide,Osasuna
Kike Sola,Osasuna
Javier Portillo,Osasuna
Kike Sola,Osasuna
Nicolás Medina,Osasuna
Óscar Díaz,Mallorca
Keirrison,Barcelona
Keirrison,Barcelona
Daniel Osvaldo,Barcelona
Felipe Mattioni,Barcelona
Sergio García,Barcelona
Jesús Dátolo,Barcelona
Aldo Duscher,Barcelona
Álvaro Vázquez,Barcelona
Manu Molina,Barcelona
Ernesto Galán,Barcelona
Wellington Baroni,Barcelona
Valdo,Barcelona
Grégory Béranger,Barcelona
Ángel Martínez,Barcelona
Román Martínez,Barcelona
Kiko Casilla,Barcelona
Milan Smiljanic,Barcelona
Nicolás Pareja,Barcelona
Moisés Hurtado,Barcelona
Fernando Marqués,Barcelona
Valdo,Barcelona
Grégory Béranger,Barcelona
Raúl Tamudo,Barcelona
Milan Smiljanic,Barcelona
Ben Sahar,Barcelona
Román Martínez,Barcelona
Ángel Martínez,Barcelona
Kiko Casilla,Barcelona
Javi Ruiz,Barcelona
Jônatas,Barcelona
Iván Pillud,Barcelona
Facundo Roncaglia,Barcelona
Daniel Osvaldo,Barcelona
Adrián Colunga,Getafe
Pablo Pintos,Getafe
Pedro Mosquera,Getafe
Javier Arizmendi,Getafe
Borja Fernández,Getafe
Iván Marcano,Getafe
Víctor Sánchez,Getafe
Franck Signorino,Getafe
Joffre Guerrón,Getafe
Pedro León,Getafe
Roberto Soldado,Getafe
Joffre Guerrón,Getafe
Kepa Blanco,Getafe
David Cortés,Getafe
David Belenguer,Getafe
Fabio Celestini,Getafe
Adrián González,Getafe
Franck Signorino,Getafe
Marcelo Silva,Almería
Michael Jakobsen,Almería
Leonardo Ulloa,Almería
Miguel Ángel Luque,Almería
Diego Váleri,Almería
Baltasar Rigo,Almería
Natalio,Almería
Carlos García,Almería
Chico Flores,Almería
Álex Quillo,Almería
Domingo Cisma,Almería
Fernando Soriano,Almería
Esteban Solari,Almería
Natalio,Almería
David Rodríguez,Almería
Guilherme Santos,Almería
Miguel Ángel Luque,Almería
Leonardo Borzani,Almería
Carlos Marchena,Villarreal
Nicki Bille Nielsen,Villarreal
